약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,구분
터미날약국,031-941-2193,경기도 파주시 아동로 9-1 (금촌동),11:30~19:30,11:30~19:30,11:30~19:30,11:30~19:30,11:30~19:30,08:30~20:00,11:00~19:30,09:00~18:00,주간
안산우리약국,031-405-1258,"경기도 안산시 상록구 예술광장1로 16, 406호(월피동,칠성프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
연무약국,031-254-1696,"경기도 수원시 장안구 월드컵로428번길 9, (연무동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,09:00~13:00,주간
다정약국,031-716-4623,"경기도 성남시 분당구 내정로 172, 1층 103호 (수내동, 상지상가빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,09:00~20:00,주간
후문소담약국,032-682-7575,경기도 부천시 수도로 22,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,주간
우리들약국,031-372-6377,경기도 오산시 경기대로 154,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:00,-,-,주간
평안약국,031-235-6216,"경기도 수원시 권선구 정조로 558, (세류동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,09:00~20:00,주간
라임약국,031-825-1100,"경기도 의정부시 회룡로 178, 109호 (장암동, 발곡프라자)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,주간
삼층약국,031-387-3122,"경기도 안양시 동안구 평촌대로223번길 49, 301호 (호계동, 아트타워)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,09:00~13:00,주간
건강약국,031-655-4196,"경기도 평택시 평택2로20번길 8, (평택동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,08:30~15:00,주간
시티프라자약국,032-325-4017,"경기도 부천시 길주로 183, 112,113,114(중동,영라이프빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,14:00~17:00,주간
상동세종약국,032-328-3560,"경기도 부천시 상이로 43, (상동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:30,-,-,주간
여주메디칼약국,031-886-8805,경기도 여주시 청심로 43 (하동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,08:30~19:00,주간
김포약국,031-984-2029,경기도 김포시 북변중로 70,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
마석백제약국,031-511-7026,경기도 남양주시 화도읍 경춘로 1992,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,10:00~21:00,-,주간
하늘M약국,031-306-6199,경기도 수원시 장안구 이목로 24,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~13:30,-,-,주간
오포태평양약국,031-766-3057,경기도 광주시 오포읍 오포로 868,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,09:00~14:00,09:00~13:00,주간
메디신월드약국,031-235-3040,"경기도 수원시 팔달구 정조로715번길 18, (매교동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,09:00~14:00,09:00~14:00,주간
태장온누리약국,031-202-4566,"경기도 수원시 영통구 덕영대로 1505, 101호 (영통동,늘푸른빌딩)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~16:00,09:00~11:00,-,주간
천리약국,031-333-4300,경기도 용인시 처인구 이동면 백옥대로 626,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:00~21:00,09:00~21:00,주간
시장약국,031-852-3424,경기도 의정부시 산단로76번길 115 (용현동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
시민약국,031-975-1712,경기도 고양시 일산동구 고양대로 762,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~20:00,08:30~21:00,주간
한진약국,031-675-5659,경기도 안성시 중앙로 380,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~17:00,-,09:00~13:00,주간
란약국,031-581-0625,경기도 가평군 청평면 경춘로 1401 (청평면),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
신명약국,031-296-2252,경기도 수원시 권선구 매송고색로 718-3 (고색동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:30~21:00,09:00~20:00,주간
수약국,031-668-0292,경기도 평택시 탄현로327번길 6 (신장동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
보건약국,031-247-4131,경기도 수원시 팔달구 정조로 764 (팔달로3가),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,09:00~21:00,주간
유스약국,02-381-9475,"경기도 고양시 덕양구 동세로 63, 1층 (삼송동, 강남프라자)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-,주간
성심온누리약국,031-373-2906,"경기도 오산시 성호대로 78, 1층 (오산동, 성심약국)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,주간
동수원약국,031-211-6700,"경기도 수원시 팔달구 중부대로 194, (인계동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~18:00,-,-,주간
장훈약국,031-557-5177,"경기도 남양주시 도농로 32, 404호 (도농동, 부영상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
대학약국,031-531-3900,경기도 포천시 영북면 영북로 173 (영북면),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
맑고고운약국,031-241-3939,"경기도 수원시 팔달구 정조로 785-4, (팔달로2가)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:30,-,-,주간
이화힐약국,031-256-2998,"경기도 수원시 장안구 수성로 315, 1층 (정자동, 탑웨딩문화원)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:00~16:00,-,-,주간
일산아이약국,031-925-0350,"경기도 고양시 일산동구 일산로 439, 1층(정발산동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~13:00,09:00~13:00,주간
으뜸약국,031-848-7773,경기도 의정부시 능곡로 66 상가동 105호,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,주간
강남효약국,031-286-3379,경기도 용인시 기흥구 신구로12번길 11-1 (구갈동),08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,-,주간
예손약국,031-984-5123,"경기도 김포시 김포한강11로 133, 1층 103호 (운양동, 중앙프라자)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00,주간
시민약국,031-567-2818,"경기도 구리시 동구릉로85번길 9, 105,106호 (인창동,동원상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,주간
중앙프라자약국,031-922-6415,경기도 고양시 일산서구 대산로 222,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,주간
엔젤약국,031-544-1469,"경기도 포천시 소흘읍 솔모루로 41,",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,09:00~13:00,주간
중앙당약국,031-449-5321,"경기도 안양시 만안구 안양로 285, (안양동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:30,주간
온누리길약국,02-502-1966,경기도 과천시 별양상가1로 25 (별양동) 렉스타운 404호,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-,주간
장미약국,031-418-5486,경기도 안산시 상록구 중보로 47,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~18:00,-,-,주간
코끼리약국,031-333-5060,경기도 용인시 처인구 모현면 외대로 6,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:00,-,-,주간
청송약국,031-988-9310,경기도 김포시 청송로 18,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,-,주간
독일약국,031-762-4870,경기도 광주시 중앙로 91,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,09:00~15:00,주간
일등약국,031-381-7786,경기도 안양시 동안구 관악대로 221 (비산동) 1층,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~13:00,-,주간
광릉내열린약국,031-573-3421,경기도 남양주시 진접읍 광릉내로 89 (진접읍),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,15:00~20:00,15:00~20:00,주간
드림약국,031-654-2164,경기도 평택시 비전5로 3 (비전동),09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~13:00,09:00~13:00,주간
일산큰사랑약국,031-919-2728,"경기도 고양시 일산서구 일산로 676, 1층 (대화동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~17:00,-,-,주간
중동한우리약국,032-321-1587,"경기도 부천시 소향로 239, 102호 (중동,대야하이빌)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,주간
대원약국,031-385-0078,"경기도 안양시 동안구 귀인로 253, 137-1호 (평촌동, 초원아파트대원상가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,10:00~21:00,주간
은혜약국,031-691-8922,경기도 평택시 중앙로 176,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,주간
한샘약국,031-409-5529,"경기도 안산시 상록구 본오로 64, (본오동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,주간
한결약국,031-251-1540,"경기도 수원시 장안구 대평로 80, 1동 411호 (정자동, 정연메이져)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
정다운약국,031-997-3307,경기도 김포시 고촌읍 김포대로 344,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-,주간
건강사랑약국,032-348-0731,경기도 부천시 소사로 174-1 (소사본동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-,주간
위드팜참약국,031-212-6404,경기도 수원시 영통구 중부대로246번길 12 (매탄동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,09:00~20:30,주간
송우약국,031-544-4891,경기도 포천시 소흘읍 태봉로 138 (소흘읍),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,-,09:00~19:00,주간
토마토약국,031-295-7281,경기도 수원시 장안구 화산로 87,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
군포유약국,031-429-6923,"경기도 군포시 군포역1길 10, 103호(당동,창진빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~14:00,09:00~14:00,09:00~14:00,주간
혜인약국,032-656-2801,"경기도 부천시 원미로 97, (원미동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,09:00~20:00,주간
보명약국,031-962-9625,경기도 고양시 덕양구 혜음로 9 (고양동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,09:00~13:00,09:00~18:00,주간
원약국,070-4038-2706,경기도 오산시 수청로 201,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,09:00~13:00,주간
보원약국,031-264-7090,"경기도 용인시 수지구 신봉2로 3, 102호 (신봉동,홍천말프라자)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:00,-,09:00~15:00,주간
천지약국,031-375-5599,경기도 오산시 오산로 164,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,주간
성약국,031-258-5046,경기도 수원시 팔달구 덕영대로 695,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:00,-,09:00~21:00,주간
삼성메디약국,031-217-2273,"경기도 수원시 영통구 인계로 264, (매탄동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~19:00,-,-,주간
햇님약국,031-709-3267,경기도 성남시 분당구 판교로 442,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,10:00~13:00,주간
능골사랑약국,031-766-6777,경기도 광주시 오포읍 오포로 125 (오포읍),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~14:00,-,-,주간
유일약국,031-658-6009,경기도 평택시 원평1로 30,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
하이팜약국,031-373-7522,경기도 오산시 운암로 92,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
서울약국,031-357-1155,경기도 화성시 송산면 사강로 208 (송산면),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,-,주간
평택프라자약국,031-658-6116,경기도 평택시 중앙로 84,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,주간
이화약국,031-276-9872,"경기도 용인시 수지구 성복1로 106, B04호 (성복동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-,주간
푸른온누리약국,031-985-0081,경기도 김포시 고촌읍 수기로 67-39,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,주간
녹용당약국,031-721-8521,경기도 성남시 수정구 제일로147번길 4,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,주간
선교송우온누리약국,031-542-1375,경기도 포천시 소흘읍 솔모루로 72,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,-,-,08:00~21:00,주간
용인윤약국,031-339-7429,"경기도 용인시 처인구 포곡읍 포곡로 72, 대두빌딩 108호",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,주간
안산프라자약국,031-480-9379,"경기도 안산시 상록구 예술광장1로 124, 114호(성포동,경동프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
혜민약국,02-2613-5785,"경기도 광명시 도덕로 36, (광명동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,09:00~18:00,주간
생생당약국,031-399-0995,"경기도 군포시 산본천로 177, 1층(산본동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,주간
인정약국,031-874-0541,"경기도 의정부시 비우로 69, (녹양동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,주간
행복한세상우리들약국,031-762-0996,경기도 광주시 곤지암읍 평촌길 38-14,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,09:00~13:00,주간
안중온누리약국,031-681-3930,"경기도 평택시 안중읍 안중로 139,",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
영통중앙약국,031-206-7847,"경기도 수원시 영통구 봉영로 1590, 306호 (영통동,밀레니엄프라자)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:30,-,-,주간
광탄조은약국,031-947-0137,"경기도 파주시 광탄면 혜음로 1120,",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,주간
세민약국,031-297-9064,경기도 수원시 권선구 금곡로102번길 20,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,09:00~13:00,주간
메디신성모약국,031-226-6354,"경기도 수원시 팔달구 세지로 150, (인계동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,주간
관양온누리약국,031-421-1320,"경기도 안양시 동안구 관악대로 387, 1층 (관양동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,09:00~14:00,09:00~14:00,주간
율전세계로약국,031-298-1192,"경기도 수원시 장안구 서부로 2117, (율전동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,주간
이화사랑약국,031-873-3579,"경기도 의정부시 평화로 228, 108호(호원동)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~17:00,-,08:00~14:00,주간
아름다운약국,031-976-9537,경기도 고양시 일산동구 고봉로 422,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,09:00~22:00,09:00~20:00,-,09:00~20:00,주간
선진약국,031-8044-5236,경기도 안산시 단원구 보화로 45-1,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
엄마약국,032-343-3599,경기도 부천시 부광로8번길 60 (괴안동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,주간
제환약국,031-985-7566,경기도 김포시 조리미로 39 (사우동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,-,-,주간
병원약국,031-221-8088,경기도 화성시 경기대로 1014,09:00~19:30,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-,주간
수정약국,031-445-2373,"경기도 안양시 만안구 안양로 366, (안양동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,주간
새빛온누리약국,031-921-9788,"경기도 고양시 일산서구 가좌1로 10, 상가동 104호 (가좌동, 가좌마을5단지아파트)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,주간
시원약국,031-911-2137,"경기도 고양시 일산서구 일산로 523, 보성상가 103호 (일산동)",12:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,12:00~21:00,09:00~21:00,주간
종로이화약국,031-701-8002,"경기도 성남시 분당구 판교로 435, 동양프라자 1층 108호 (야탑동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,09:00~18:00,주간
조이온누리약국,031-707-9240,"경기도 성남시 분당구 서현로 184, 2층 212호 (서현동, 엘지분당에클라트1)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,주간
이매다나약국,031-702-1511,"경기도 성남시 분당구 성남대로779번길 26, 서안빌딩 1층일부 (이매동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,주간
행복가득한약국,031-972-6985,"경기도 고양시 덕양구 무원로 62, 1층 (행신동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~21:00,10:00~21:00,주간
동성약국,032-661-8275,"경기도 부천시 석천로112번길 14, (중동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,-,주간
우정약국,031-571-6007,경기도 남양주시 진접읍 장현천로 28 (진접읍),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,주간
라파약국,031-705-9202,"경기도 성남시 분당구 판교로 441 , 211호 (야탑동, 남서울프라자)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,-,-,-,주간
중앙약국,031-769-4222,"경기도 광주시 중앙로 95-1, 1층 (역동, 희망빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,11:00~20:00,10:00~20:00,주간
초원약국,031-401-3321,"경기도 안산시 상록구 예술광장1로 52, 114호 (월피동,뉴월드프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,주간
다나약국,032-341-9980,"경기도 부천시 범안로 6, (괴안동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,주간
유명약국,031-861-3201,경기도 동두천시 중앙로 267,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:30,09:00~18:00,-,주간
영약국,031-868-4334,경기도 동두천시 지행로 56,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,주간
행복한약국,031-618-3083,경기도 평택시 세교공원로 66,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~14:00,-,09:00~13:00,주간
자명약국,031-425-5432,"경기도 안양시 동안구 흥안대로 510, 1층 (관양동, 정빌딩)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,-,11:00~20:30,주간
윤약국,031-475-5056,경기도 안산시 단원구 라성로 43,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,주간
기린약국,031-355-7365,"경기도 화성시 남양읍 남양성지로 135, 3층 302호 (남양읍)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~13:00,09:00~13:00,주간
자연약국,032-348-7500,"경기도 부천시 소향로 131 503호 (중동, 일신빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,09:00~18:00,주간
신정문약국,031-962-3035,경기도 고양시 덕양구 화수로14번길 62 (화정동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,-,-,-,주간
삼송스타약국,02-2063-9100,"경기도 고양시 덕양구 고양대로 1955, 지하2층 (동산동, 스타필드고양)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,-,-,10:00~23:00,주간
다나온누리약국,031-000-0000,"경기도 고양시 덕양구 화정로 47, 302호 (화정동, 동원텔)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
하나로약국,031-971-9052,"경기도 고양시 덕양구 충장로 134, 106호(행신동,아이프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,09:00~13:00,주간
정약국,031-206-8929,경기도 수원시 영통구 태장로 73,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,-,-,주간
정다운온누리약국,031-415-8275,"경기도 안산시 상록구 도매시장로 41, 1층 (이동,장현빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,주간
신세계약국,031-298-1118,경기도 화성시 봉담읍 샘마을길 31 (봉담읍),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-,주간
정다운온누리약국,02-381-0975,"경기도 고양시 덕양구 권율대로 889, 103호 (신원동, 파스텔시티2)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,15:00~20:00,15:00~20:00,주간
금보약국,032-322-0988,"경기도 부천시 소향로 239, 105호 (중동, 대야하이빌2)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,10:00~15:00,-,-,주간
국민약국,031-247-4310,경기도 수원시 팔달구 중부대로39번길 6,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,주간
평화약국,031-768-5952,"경기도 광주시 중앙로 85, 1층 (역동, 신흥빌딩)",08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~18:00,-,09:00~18:00,주간
자이약국,031-264-2574,경기도 용인시 수지구 신봉1로 112-1,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,-,09:00~21:00,주간
동이약국,032-668-9638,"경기도 부천시 경인로29번길 13 (송내동, 동신아파트)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:30~18:30,주간
세일약국,031-274-7197,경기도 용인시 기흥구 구성로 470,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,10:00~13:00,10:00~13:00,주간
송온누리약국,070-4250-5993,경기도 안산시 상록구 각골로 70,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,주간
동아약국,031-535-2417,경기도 포천시 중앙로 119,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
다정한약국,032-347-8881,"경기도 부천시 소사로 156, 1층 (소사본동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-,주간
자연약국,031-754-4333,"경기도 성남시 중원구 제일로 37 1층 (성남동, 신명빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,주간
파주약국,031-943-2922,"경기도 파주시 조리읍 봉천로 43,",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~21:30,-,09:00~19:00,주간
엄마손약국,031-728-2331,"경기도 성남시 분당구 돌마로 80 , 2층 (구미동, 분당현대벤처빌,85~90.119~124호) (구미동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~15:30,-,09:30~12:30,주간
온누리중앙약국,031-773-3237,경기도 양평군 용문면 용문로 356-1 (용문면),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,-,주간
정다운약국,031-673-7286,"경기도 안성시 중앙로 370, 4층 (석정동, 하평플리스)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-,주간
삼성약국,031-238-3287,"경기도 수원시 팔달구 경수대로479번길 10-11, (인계동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-,주간
늘푸른약국,031-872-5020,"경기도 의정부시 의정로 191, (가능동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,09:00~16:00,주간
